MCTF BESZ 201304
53392 00.3 -025
53397 -1.2 -055
53399 00.3 -025
53491 00.3 -055
53492 -0.3 -025
53498 00.3 0025
53499 00.3 -025
53593 00.3 -025
54301 00.3 0055
54304 -0.3 0025
54401 00.3 -025
54404 -0.3 0025
54405 00.3 0025
54408 00.3 0025
54308 -0.3 0025
54311 -0.3 -025
54318 -0.3 -025
54319 -0.3 0025
54420 -0.3 -025
54423 00.3 0055
54425 -0.3 0025
54430 -0.3 0025
54432 -0.3 -055
54436 -0.3 0025
54438 00.3 -025
54449 -0.3 -025
54540 -0.3 0010
54541 00.3 0025
54429 -0.3 0055
54434 -0.3 0025
54437 00.3 0055
54439 -0.3 0025
54522 00.3 0055
54531 00.3 0025
54532 -0.3 0055
54533 -0.3 0055
54534 00.3 0055
54535 00.3 0055
54539 00.3 0055
54510 01.2 0025
54512 00.3 0055
54515 01.2 0055
54518 01.2 0025
54519 -1.2 0055
54520 01.2 0055
54521 01.2 0055
54612 01.2 0025
54613 01.2 -055
54610 01.2 0055
54614 01.2 0025
54615 00.3 0025
54616 01.2 0025
54617 00.3 0025
54618 01.2 0055
54624 01.2 0055
54626 01.2 0025
54627 01.2 0055
54628 01.2 0055
54644 01.2 0025
54713 01.2 0055
54717 01.2 0025
54719 01.2 0055
54606 00.3 0025
54608 01.2 -055
54609 00.3 -025
54700 01.2 -025
54702 00.3 0055
54703 01.2 -055
54704 01.2 0055
54707 00.3 -025
54708 00.3 0025
54710 01.2 0025
54711 01.2 0025
53596 01.2 -055
53599 01.2 0025
53682 00.3 0055
53690 01.2 -055
53692 01.2 0025
53696 00.3 0025
54502 01.2 -055
54503 00.3 -055
54506 00.3 -025
54507 01.2 -025
54601 01.2 -055
54602 01.2 -055
54603 00.3 0025
54604 01.2 0025
54605 01.2 -055
54607 00.3 0055
54611 01.2 0025
54620 00.3 0025
54636 00.3 -055
53680 00.3 0055
53688 00.3 0025
53689 00.3 0025
53691 00.3 0055
53693 01.2 0025
53694 01.2 0025
53695 00.3 0055
53697 00.3 0055
53698 00.3 0055
53699 00.3 0055
53784 00.3 0025
53789 00.3 0025
53790 00.3 0055
53791 01.2 0055
53795 00.3 0055
54621 00.3 0055
54701 00.3 0025
53781 00.3 0055
53785 00.3 0055
53792 00.3 0025
53794 00.3 0025
53796 00.3 0025
53797 00.3 0025
53798 01.2 0025
53799 00.3 0055
53883 00.3 0025
53891 00.3 0025
54631 00.3 0025
54632 00.3 0025
54633 00.3 0025
54705 00.3 0025
54706 01.2 0055
54800 00.3 0025
54801 00.3 0025
53773 00.3 0025
53886 01.2 0025
53890 00.3 0025
53892 00.3 0055
53893 00.3 0025
53894 00.3 0025
53895 00.3 0055
53896 00.3 0025
53897 00.3 0055
53899 00.3 0025
53980 00.3 0025
53996 00.3 0055
54640 00.3 0055
54804 00.3 0025
54809 00.3 0025
54820 00.3 0025
